A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,Resolution Time,latitude,longitude
A6-BLR,AUH,2025-07-12 18:35:49.335,A6-BLR002809-005,Galley G4A-1R,"WATER LEAKING FROM GALLEY CHILLER VENTS. BEHIND THE CARTS. 
FLOOR IS VERY WET DURING TAKE OFF AND LANDING. 
SEE PHOTOS ATTACHED ",FOUND ICE FORMED IN COOLING OUTLET BELOWS. ICE REMOVED. NOW OK. ,80637308.0,Behind carts,Ice on chiller flaps,2025-07-12 19:35:12.605000,1.0,24.4409181,54.6377049
A6-BMA,AUH,2025-07-10 01:15:23.678,A6-BMA002990-004,Galley G4A-1R,A LOT OF WATER LEAKED UPON TOD AND AFTER LANDING ON THE GALLEY FLOOR. ,"INSPECTION CARRIED OUT ON GALLEY AREA IAW AMM 25-31-00-02A-311A, REV162,  30JUN25. FOUND WATER ACCUMULATED ON CART RUBBER VENT. WATER REMOVED AND AREA CLEANED AS REQD.",80634678.0,Behind carts,Condensation,2025-07-10 05:23:26.100000,4.1,24.4409181,54.6377049
A6-BMA,BKK,2025-07-09 15:19:22.675,A6-BMA002989-001,Galley G2F-1C,SMALL WATER LEAK IN R2 GALLEY  BEHIND THE CARTS ,"FOUND ICE ACCUMULATED IN GALLEY FLAP REFRIGERATOR, ICE REMOVED CHECKED FOUND SATIS.",80634381.0,Behind carts,Ice on chiller flaps,2025-07-09 17:44:31.665000,2.4,13.6818766,100.7485803
A6-BLV,DUB,2025-07-03 17:41:33.774,A6-BLV002651-004,Galley G2F-1C,HUGE AMOUNT OF WATER LEAKED FROM CHILLERS (TOWARDS GALLEY AND CABIN,INSPECTION FOR WATER LEAKS PERFORMED IAW AMM 38-00-00.,80628581.0,Behind carts,Nil Leak,2025-07-03 18:11:30.604000,0.5,53.4282915,-6.2472741
A6-BLC,AUH,2025-07-03 08:03:32.436,A6-BLC002585-003,Galley G1F-1C,WATER LEAK FROM UNDER THE STOWAGES: 1F1C12; 1F1C03F,"R1 GALLEY ICE DRAWER DRAIN FOUND BLOCKED. SAME CLEANED IAW AMM DMC-B787-A-38-31-25-00A-258A-A, REV 161 31MAY25.DRAIN OPS SATIS NOW WITH NIL LEAKS.",80628154.0,Ice Drawer,Ice Drawer drain clogged,2025-07-03 08:35:55.938000,0.5,24.4409181,54.6377049
A6-BLT,AUH,2025-07-01 12:31:50.262,A6-BLT002732-001,Galley G2A-1C,WATER IS LEAKING INTO THE CABIN INFRONT OF THE BULK SEATS 15DEG,"OBSERVED EXCESSIVE ICE FORMATION NEAR MID GALLEY REFRIGERATION FLAP ASSY. AREA CLEANED AND DRIED IAW AMM DMC-B787-A-25-00-00-01A-663A-A REV 161, 31 MAY 2025. NO FURTHER SIGN OF WATER LEAKAGE.",80626557.0,Behind carts,Ice on chiller flaps,2025-07-01 22:15:15.672000,9.7,24.4409181,54.6377049
A6-BMH,MXP,2025-06-26 16:31:56.270,A6-BMH002940-006,Galley G2F-1C,WATER LEAKAGE IZ FROMMUNDER THE STOWAGE 2F1C10,"WATER CONDENSATION DRIED AND CHILLER OUTLETS CHECKED FOR ICE ACCREATION, FOUND OK",80622009.0,Behind carts,Condensation,2025-06-26 17:11:43.664000,0.7,45.6296273,8.7235475
A6-BNA,HYD,2025-06-17 14:52:04.225,A6-BNA003096-001,Galley G4A-1R,"GALLEY WATER LEAKING IN R4 GALLEY
",AREA DRIED. SUSPECT WATER CONDENSATION. COOLING SYSTEM OPERATED FOR PROLONGED TIME ON GRD. NIL LEAK.,80613064.0,Behind carts,Condensation,2025-06-17 15:34:24.089000,0.7,17.231403,78.4316883
A6-BLW,KIX,2025-06-16 04:25:26.574,A6-BLW002700-001,Galley G2A-1C,WATER LEAKAGE FROM BEHIND OF THE CARTS. WATER LEAKS TILL THE FIRST ROW OF ECONOMY CLASS.,"VISUAL INSPECTION PFMD SATIS,NO LEAK FOUND",80611795.0,Behind carts,Condensation,2025-06-16 05:41:59.861000,1.3,34.4342045,135.222523
A6-BLI,AUH,2025-06-14 17:02:45.428,A6-BLI002740-002,Galley G2A-1C,WATER LEAKAGE FROM CHILLERS BEHIND CARTS.,"R2 GALLEY CHECKED FOUND CONDENSED WATER COMES FROM GALLEY CRAT AIR VENT SAME CLEANED AND REMOVED .
TO MONITOR AND REPORT FURTHER",80610422.0,Behind carts,Condensation,2025-06-14 20:20:57.163000,3.3,24.4409181,54.6377049
A6-BLR,AUH,2025-06-13 14:26:31.783,A6-BLR002755-002,Galley G4A-1C,"WATER LEAKAGE IN G4 WHILE LANDING, COMING FROM BEHIND THE CARTS.","CARRIED OUT LEAK CHECK AND NO LEAK FOUND IAW AMM 25-31-00-01A-364A
REV 161   31 MAY 2025",80609303.0,Behind carts,Condensation,2025-06-14 22:51:33.680000,32.4,24.4409181,54.6377049
A6-BMI,AUH,2025-06-12 19:25:18.439,A6-BMI003013-004,Galley G4A-1C,CHILLER OUTLET HAS ICE ACCUMULATED AND CAUSES LEAKAGE WHEN IT MELTS.,"AFT GALLEY 4A1C15 CHECKED IAW AMM 25-31-00-02A-311A-A REV 161 MAY 25
SATIS",80608797.0,Behind carts,Condensation,2025-06-12 20:40:49.276000,1.3,24.4409181,54.6377049
A6-BLR,AUH,2025-06-06 19:18:57.982,A6-BLR002739-003,Galley G4A-1C,DURING DESCEND WATER IS LEAKING FROM BACK CART STOWAGE UNDER THE OVENS ,"PHYSICALLY CHECKED AND REMOVED ICE FORMATION ON GALLEY CHILLER FLAPS IAW AMM DMC-B787-A-25-33-01-00A-258A-A REV160/30APR25.
NO WATER LEAKS OBSERVED.",80603178.0,Behind carts,Ice on chiller flaps,2025-06-06 20:50:19.328000,1.5,24.4409181,54.6377049
A6-BLR,AUH,2025-06-06 18:47:56.766,A6-BLR002739-002,Galley G1A-1C,"ON TOP OF DESCENT , THERE'S PLENTY OF WATER LEAKING FROM BEHIND CART STOWAGE UNDER FRIDGE G1A-1C","AREA CHECKED , FOUND WATER CAME FROM GCU CONDENSATION , AREA CLEANED AND DRIED OUT .",80603177.0,Behind carts,Condensation,2025-06-06 20:43:59.505000,1.9,24.4409181,54.6377049
A6-BLN,AUH,2025-06-02 10:45:33.555,A6-BLN002693-001,Galley G1F-1C,"DURING TAKE OFF, WATER WAS SEEN LEAKING FROM ESPRESSO MAKER OR ICE COMPARTMENT",R1 GALLEY GRAY WATER DRAIN SYSTEM CLEANING CARRIED OUT IAW AMM 38-31-00-01A-258A-A REV 160/30APR2028.SATIS.  ,80599271.0,Ice Drawer,Ice Drawer cleaned,2025-06-02 18:33:44.606000,7.8,24.4409181,54.6377049
A6-BLS,HKT,2025-06-01 00:03:37.488,A6-BLS002696-003,Galley G4A-1R,THE WATER IS LEAKING FROM UNDERNEATH/BEHIND THE OVENS CONSTANTLY.,"WATER SHUT OFF VALVE SET TO OPEN. AFT GALLEY INSPECTED IAW AMM DMC-B787-A-25-31-00-01A-364A-A REV 160 30APR25. NIL LEAKS NOTED ON OVENS AND OTHER GALLEY EQUIPMENT. HOWEVER, FOUND ICE BUILD UP ON GALLEY CHILLER CART COOL AIR OUTLET. ICE BUILT UP REMOVED AND CLEANED IAW AMM DMC-B787-A-25-33-00A-258A-A REV 160 30APR25. OPS TEST PASSED. DDL CLEARED",80597776.0,Behind carts,Ice on chiller flaps,2025-06-02 05:10:14.584000,29.1,8.1101319,98.3058153
A6-BLV,HKT,2025-05-30 16:38:56.967,A6-BLV002581-002,Galley G2A-1C,"WATER LEAKAGE ON FLOOR AREA 
FOUND FROM UNDER THE TRASH COMPACTOR DURING TAXI OUT.
DURING TAKE OFF - WATER WAS COMING FROM FWD GALLEY COMPARTMENTS.","R2 GALLEY WASTE WATER DRAIN SYSTEM
OPERATION CHECKED IAW AMM B787-A-38-31-21-04A-720A-A REV 158, 28 FEB 2025 AND FOUND OPERATION SATISFACTORY.
CONFIRMED R2 GALLEY DRAIN GWIV IS OPERATIONAL AND NO BLOCKAGE IN DRAIN LINES. NO  EVIDENCE WATER LEAK FOUND",80596527.0,Behind carts,Condensation,2025-05-30 16:54:45.536000,0.3,8.1101319,98.3058153
A6-BNG,CGK,2025-05-22 12:04:52.344,A6-BNG000905-002,Galley G4A-1L,WATER IS LEAKING FROM THE DRAWER,"CHECKED FOUND FILTER DRAIN BLOCKED,CLEANED UP CHECK SATIS",80589034.0,Ice Drawer,Ice Drawer drain clogged,2025-05-22 14:56:43.480000,2.9,-6.1238696,106.6429036
