A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,latitude,longitude,Created Date Filter,Resolution Time
A6-BMH,AUH,2024-12-25 19:07:53.431,A6-BMH002521-002,Galley G1F-1C,"DURING TAKE OFF, A LOT OF WATER LEAKED FROM BEHIND THE HOT BEVERAGE MACHINES WHICH THEN SEEPED INTO THE CABIN AND GALLEY FLOOR. ",C/O RESET AND OPS TEST IAW AMM DMC-B787-A-25-32-00-27A-320A-A REV 155/30 NOV 24. NO LEAK .FOUND SATIS,80463036,Behind hot beverage machine,Nil Leak,2024-12-25 22:24:34.070,24.426389,54.651389,2024-12-25,3.28
A6-BLD,AUH,2024-12-22 08:31:05.861,A6-BLD002194-004,Galley G2A-1C,HAD A WATER ABOUT 5 LITERS FLOWING OUT FROM THE ICE DRAWER AND AS WELL AS THE CONTAINER STOWAGE.,"GALLEY #2,ICE DRAWER WATER DRAIN FOUND CLOGGED. SAME CLEANED. WATER DRINING FOUND SATIS. 
I.A.W CMM 25-37-56 REV.07 /03JULY2023",80460201,Ice Drawer,Ice Drawer drain clogged,2024-12-22 09:46:40.612,24.426389,54.651389,2024-12-22,1.26
A6-BLD,AUH,2024-12-22 06:27:14.297,A6-BLD002194-003,Galley G1F-1C,WATER LEAKING FROM THE BUTTOM OF THE FRIDGE,NO WATER LEAK FOUND SUSPECT WATER CONDENSATION. OPS TEST CARRIED OUT REFRIGERATOR OPERATES NORMALLY IAW AMM 25-32-00-28A-320A-A REV 155 / 30NOV2024,80460200,Behind fridge,Nil Leak,2024-12-22 09:57:19.093,24.426389,54.651389,2024-12-22,3.5
A6-BMA,AUH,2024-12-14 01:22:57.415,A6-BMA002515-003,Galley G2A-1C,AT TOD OF DESCENT WATER CAME OUT FROM STOWAGE 2A1C13,AREA INSPECTED BEHIND GALLEY EQUIPEMENT.NIL WATER OR LEAK FOUND. REF AMM DMC-B787-25-32-00-10A-520A/720A REV 58/30NOV2024,80453272,Behind carts,Nil Leak,2024-12-14 02:47:07.124,24.426389,54.651389,2024-12-14,1.4
A6-BMA,AUH,2024-12-14 01:20:20.377,A6-BMA002515-002,Galley G1A-1C,AT TOD OF DESCENT WATER CAME OUT FROM STOWAGE 1A1C11,AREA INSPECTED BEHIND GALLEY EQUIPEMENT.NIL WATER OR LEAK FOUND. REF AMM DMC-B787-25-32-00-10A-520A/720A REV 58/30NOV2024,80453271,Behind carts,Nil Leak,2024-12-14 02:48:30.529,24.426389,54.651389,2024-12-14,1.47
A6-BLA,AUH,2024-12-13 01:40:10.760,A6-BLA002111-006,Galley G4A-1C,"R4 GALLEY, RHS, AFT
HEAVY WATER LEAK THROUGHOUT THE FLIGHT ","INSPECTION PERFORMED FOR  R4 GALLEY RH SIDE , NO WATER LEAK OBSERVED  FROM ANY WATER RESOURCES OR AIR CHILLERS OUTLET , GALLEY OVERHEAD  COOLING EQUIPMENT DRIAN NIL LEAK  AREA MONITORED, NIL WATER LEAK OBSERVED , AS AMM 25-31-00-01A-364A-A REV 155/30NOV24",80452497,Behind carts,Nil Leak,2024-12-13 05:41:09.997,24.426389,54.651389,2024-12-13,4.02
A6-BLA,AUH,2024-12-13 01:38:05.939,A6-BLA002111-005,Galley G2A-1C,HEAVY WATER LEAK FROM THE ICE DRAWER DURING TAKE OFF AND LANDING,"R2 GALLEY ICE BOX DRAWER DRAIN FOUND BLOCKED ,SAME CLEANED ,NIL WATER LEAKAGE.",80452496,Ice Drawer,Ice Drawer drain clogged,2024-12-13 05:14:31.452,24.426389,54.651389,2024-12-13,3.61
A6-BLA,AUH,2024-12-13 01:36:25.191,A6-BLA002111-004,Galley G2A-1C,HEAVY WATER LEAK FROM THE ICE DRAWER ON TAKE OFF AND LANDING ,"R1 GALLEY ICE BOX DRAWER DRAIN FOUND BLOCKED ,SAME CLEANED ,NIL WATER LEAKAGE.",80452495,Ice Drawer,Ice Drawer drain clogged,2024-12-13 05:14:46.682,24.426389,54.651389,2024-12-13,3.64
A6-BMI,FRA,2024-12-13 01:23:57.932,A6-BMI002590-006,Galley G1F-1C,UNDER IDE DROWER LOT OF WATER RUNNING INTO CABIN DURING TAKE OFF,INSPECTION C/OUT NIL FOUND.,80452615,Ice Drawer,Nil Leak,2024-12-13 05:58:25.775,50.037933,8.562152,2024-12-13,4.57
A6-BLA,LHR,2024-12-07 11:37:52.862,A6-BLA002102-005,Galley G4A-1C,"LEAKING A LOT, APPROXIMATELY 2L OF WATER WHICH FLOWS INTO THE AFT COMPARTMENT AND SINK AND AROUND THE SINK.",ICEDRAWER COMPARTMENT 4A1R11 CLEANED FUNCTIONAL CHECK C/OUT FOUND SATIS.,80447975,Ice Drawer,Ice Drawer cleaned,2024-12-07 15:18:54.419,51.47002,-0.454295,2024-12-07,3.68
